,No.,Pos.,Player,Caps,Goals,Club,Country,Team,DOB,age
6,7,3MF,Cristian Rodríguez,105,11,Peñarol,Uruguay,Uruguay,1985-09-30,32
7,8,3MF,Nahitan Nández,12,0,Boca Juniors,Argentina,Uruguay,1995-12-28,22
8,9,4FW,Luis Suárez,98,51,Barcelona,Spain,Uruguay,1987-01-24,31
9,10,4FW,Giorgian De Arrascaeta,14,2,Cruzeiro,Brazil,Uruguay,1994-06-01,24
10,11,4FW,Cristhian Stuani,41,5,Girona,Spain,Uruguay,1986-10-12,31
11,12,1GK,Martín Campaña,1,0,Independiente,Argentina,Uruguay,1989-05-29,29
12,13,2DF,Gastón Silva,17,0,Independiente,Argentina,Uruguay,1994-03-05,24
13,14,3MF,Lucas Torreira,3,0,Sampdoria,Italy,Uruguay,1996-02-11,22
14,15,3MF,Matías Vecino,22,1,Inter Milan,Italy,Uruguay,1991-08-24,26
15,16,2DF,Maxi Pereira,125,3,Porto,Portugal,Uruguay,1984-06-08,34
16,17,3MF,Diego Laxalt,6,0,Genoa,Italy,Uruguay,1993-02-07,25
17,18,4FW,Maxi Gómez,5,0,Celta Vigo,Spain,Uruguay,1996-08-14,21
18,19,2DF,Sebastián Coates,30,1,Sporting CP,Portugal,Uruguay,1990-10-07,27
19,20,4FW,Jonathan Urretaviscaya,4,0,Monterrey,Mexico,Uruguay,1990-03-19,28
20,21,4FW,Edinson Cavani,101,42,Paris Saint-Germain,France,Uruguay,1987-02-14,31
21,22,2DF,Martín Cáceres,76,4,Lazio,Italy,Uruguay,1987-04-07,31
22,23,1GK,Martín Silva,11,0,Vasco da Gama,Brazil,Uruguay,1983-03-25,35
0,1,1GK,Alireza Beiranvand,22,0,Persepolis,Iran,Iran,1992-09-21,25
1,2,3MF,Mehdi Torabi,17,4,Saipa,Iran,Iran,1994-09-10,23
2,3,2DF,Ehsan Hajsafi,94,6,Olympiacos,Greece,Iran,1990-02-25,28
3,4,2DF,Rouzbeh Cheshmi,10,1,Esteghlal,Iran,Iran,1993-07-24,24
4,5,2DF,Milad Mohammadi,19,0,Akhmat Grozny,Russia,Iran,1993-09-29,24
5,6,3MF,Saeid Ezatolahi,25,1,Amkar Perm,Russia,Iran,1996-10-01,21
6,7,3MF,Masoud Shojaei (captain),74,8,AEK Athens,Greece,Iran,1984-06-09,34
7,8,2DF,Morteza Pouraliganji,27,2,Al-Sadd,Qatar,Iran,1992-04-19,26
8,9,3MF,Omid Ebrahimi,30,0,Esteghlal,Iran,Iran,1987-09-16,30
9,10,4FW,Karim Ansarifard,64,17,Olympiacos,Greece,Iran,1990-04-03,28
10,11,3MF,Vahid Amiri,36,1,Persepolis,Iran,Iran,1988-04-02,30
11,12,1GK,Mohammad Rashid Mazaheri,3,0,Zob Ahan,Iran,Iran,1989-05-18,29
12,13,2DF,Mohammad Reza Khanzadeh,11,1,Padideh,Iran,Iran,1991-05-11,27
13,14,4FW,Saman Ghoddos,8,1,Östersund,Sweden,Iran,1993-09-06,24
14,15,2DF,Pejman Montazeri,46,1,Esteghlal,Iran,Iran,1983-09-06,34
15,16,4FW,Reza Ghoochannejhad,43,17,Heerenveen,Netherlands,Iran,1987-09-20,30
16,17,4FW,Mehdi Taremi,26,11,Al-Gharafa,Qatar,Iran,1992-07-18,25
17,18,4FW,Alireza Jahanbakhsh,38,4,AZ,Netherlands,Iran,1993-08-11,24
18,19,2DF,Majid Hosseini,1,0,Esteghlal,Iran,Iran,1996-06-20,21
19,20,4FW,Sardar Azmoun,33,23,Rubin Kazan,Russia,Iran,1995-01-01,23
20,21,4FW,Ashkan Dejagah,46,9,Nottingham Forest,England,Iran,1986-07-05,31
21,22,1GK,Amir Abedzadeh,1,0,Marítimo,Portugal,Iran,1993-04-26,25
22,23,2DF,Ramin Rezaeian,28,2,Oostende,Belgium,Iran,1990-03-21,28
0,1,1GK,Yassine Bounou,11,0,Girona,Spain,Morocco,1991-04-05,27
1,2,2DF,Achraf Hakimi,10,1,Real Madrid,Spain,Morocco,1998-11-04,19
2,3,2DF,Hamza Mendyl,13,0,Lille,France,Morocco,1997-10-21,20
3,4,2DF,Manuel da Costa,28,1,İstanbul Başakşehir,Turkey,Morocco,1986-05-06,32
4,5,2DF,Medhi Benatia (captain),57,2,Juventus,Italy,Morocco,1987-04-17,31
5,6,2DF,Romain Saïss,24,1,Wolverhampton Wanderers,England,Morocco,1990-03-26,28
6,7,3MF,Hakim Ziyech,18,9,Ajax,Netherlands,Morocco,1993-03-19,25
7,8,3MF,Karim El Ahmadi,51,1,Feyenoord,Netherlands,Morocco,1985-01-27,33
8,9,4FW,Ayoub El Kaabi,10,11,RS Berkane,Morocco,Morocco,1993-06-25,24
9,10,3MF,Younès Belhanda,47,5,Galatasaray,Turkey,Morocco,1990-02-25,28
10,11,3MF,Fayçal Fajr,23,2,Getafe,Spain,Morocco,1988-08-01,29
11,12,1GK,Munir Mohamedi,27,0,Numancia,Spain,Morocco,1989-05-10,29
12,13,4FW,Khalid Boutaïb,18,7,Yeni Malatyaspor,Turkey,Morocco,1987-04-24,31
13,14,3MF,Mbark Boussoufa,59,7,Al-Jazira,United Arab Emirates,Morocco,1984-08-15,33
14,15,3MF,Youssef Aït Bennasser,14,0,Caen,France,Morocco,1996-07-07,21
15,16,3MF,Nordin Amrabat,44,4,Leganés,Spain,Morocco,1987-03-31,31
16,17,2DF,Nabil Dirar,34,3,Fenerbahçe,Turkey,Morocco,1986-02-25,32
17,18,3MF,Amine Harit,6,0,Schalke 04,Germany,Morocco,1997-06-18,20
18,19,4FW,Youssef En-Nesyri,16,2,Málaga,Spain,Morocco,1997-06-01,21
19,20,4FW,Aziz Bouhaddouz,15,3,FC St. Pauli,Germany,Morocco,1987-03-30,31
20,21,3MF,Sofyan Amrabat,6,0,Feyenoord,Netherlands,Morocco,1996-08-21,21
21,22,1GK,Ahmed Reda Tagnaouti,2,0,IR Tanger,Morocco,Morocco,1996-04-05,22
22,23,3MF,Mehdi Carcela,20,1,Standard Liège,Belgium,Morocco,1989-07-01,28
0,1,1GK,Rui Patrício,69,0,Sporting CP,Portugal,Portugal,1988-02-15,30
1,2,2DF,Bruno Alves,96,11,Rangers,Scotland,Portugal,1981-11-27,36
2,3,2DF,Pepe,95,5,Beşiktaş,Turkey,Portugal,1983-02-26,35
3,4,3MF,Manuel Fernandes,14,3,Lokomotiv Moscow,Russia,Portugal,1986-02-05,32
4,5,2DF,Raphaël Guerreiro,24,2,Borussia Dortmund,Germany,Portugal,1993-12-22,24
5,6,2DF,José Fonte,31,0,Dalian Yifang,China,Portugal,1983-12-22,34
6,7,4FW,Cristiano Ronaldo (captain),150,81,Real Madrid,Spain,Portugal,1985-02-05,33
7,8,3MF,João Moutinho,110,7,Monaco,France,Portugal,1986-09-08,31
8,9,4FW,André Silva,23,12,Milan,Italy,Portugal,1995-11-06,22
9,10,3MF,João Mário,36,2,West Ham United,England,Portugal,1993-01-19,25
10,11,3MF,Bernardo Silva,25,2,Manchester City,England,Portugal,1994-08-10,23
11,12,1GK,Anthony Lopes,7,0,Lyon,France,Portugal,1990-10-01,27
12,13,2DF,Rúben Dias,1,0,Benfica,Portugal,Portugal,1997-05-14,21
13,14,3MF,William Carvalho,43,2,Sporting CP,Portugal,Portugal,1992-04-07,26
14,15,2DF,Ricardo Pereira,4,0,Porto,Portugal,Portugal,1993-10-06,24
15,16,3MF,Bruno Fernandes,6,1,Sporting CP,Portugal,Portugal,1994-09-08,23
16,17,4FW,Gonçalo Guedes,10,3,Valencia,Spain,Portugal,1996-11-29,21
17,18,4FW,Gelson Martins,18,0,Sporting CP,Portugal,Portugal,1995-05-11,23
18,19,2DF,Mário Rui,4,0,Napoli,Italy,Portugal,1991-05-27,27
19,20,4FW,Ricardo Quaresma,77,9,Beşiktaş,Turkey,Portugal,1983-09-26,34
20,21,2DF,Cédric,29,1,Southampton,England,Portugal,1991-08-31,26
21,22,1GK,Beto,14,0,Göztepe,Turkey,Portugal,1982-05-01,36
22,23,3MF,Adrien Silva,23,1,Leicester City,England,Portugal,1989-03-15,29
0,1,1GK,David de Gea,29,0,Manchester United,England,Spain,1990-11-07,27
1,2,2DF,Dani Carvajal,15,0,Real Madrid,Spain,Spain,1992-01-11,26
2,3,2DF,Gerard Piqué,98,5,Barcelona,Spain,Spain,1987-02-02,31
3,4,2DF,Nacho,17,0,Real Madrid,Spain,Spain,1990-01-18,28
4,5,3MF,Sergio Busquets,103,2,Barcelona,Spain,Spain,1988-07-16,29
5,6,3MF,Andrés Iniesta,127,14,Barcelona,Spain,Spain,1984-05-11,34
6,7,3MF,Saúl,10,0,Atlético Madrid,Spain,Spain,1994-11-21,23
7,8,3MF,Koke,40,0,Atlético Madrid,Spain,Spain,1992-01-08,26
8,9,4FW,Rodrigo,6,2,Valencia,Spain,Spain,1991-03-06,27
9,10,3MF,Thiago,29,2,Bayern Munich,Germany,Spain,1991-04-11,27
10,11,4FW,Lucas Vázquez,7,0,Real Madrid,Spain,Spain,1991-07-01,26
11,12,2DF,Álvaro Odriozola,4,1,Real Sociedad,Spain,Spain,1995-12-14,22
12,13,1GK,Kepa Arrizabalaga,1,0,Athletic Bilbao,Spain,Spain,1994-10-03,23
13,14,2DF,César Azpilicueta,22,0,Chelsea,England,Spain,1989-08-28,28
14,15,2DF,Sergio Ramos (captain),152,13,Real Madrid,Spain,Spain,1986-03-30,32
15,16,2DF,Nacho Monreal,22,1,Arsenal,England,Spain,1986-02-26,32
16,17,4FW,Iago Aspas,10,5,Celta Vigo,Spain,Spain,1987-08-01,30
17,18,2DF,Jordi Alba,62,8,Barcelona,Spain,Spain,1989-03-21,29
18,19,4FW,Diego Costa,20,7,Atlético Madrid,Spain,Spain,1988-10-07,29
19,20,3MF,Marco Asensio,12,0,Real Madrid,Spain,Spain,1996-01-21,22
20,21,4FW,David Silva,121,35,Manchester City,England,Spain,1986-01-08,32
21,22,3MF,Isco,28,10,Real Madrid,Spain,Spain,1992-04-21,26
22,23,1GK,Pepe Reina,36,0,Napoli,Italy,Spain,1982-08-31,35
0,1,1GK,Mathew Ryan,44,0,Brighton & Hove Albion,England,Australia,1992-04-08,26
1,2,2DF,Milos Degenek,18,0,Yokohama F. Marinos,Japan,Australia,1994-04-28,24
2,3,2DF,James Meredith,2,0,Millwall,England,Australia,1988-04-05,30
3,4,4FW,Tim Cahill,106,50,Millwall,England,Australia,1979-12-06,38
4,5,2DF,Mark Milligan,71,6,Al-Ahli,Saudi Arabia,Australia,1985-08-04,32
5,6,2DF,Matthew Jurman,4,0,Suwon Samsung Bluewings,South Korea,Australia,1989-12-08,28
6,7,4FW,Mathew Leckie,53,8,Hertha BSC,Germany,Australia,1991-02-04,27
7,8,3MF,Massimo Luongo,36,5,Queens Park Rangers,England,Australia,1992-09-25,25
8,9,4FW,Tomi Juric,35,8,Luzern,Switzerland,Australia,1991-07-22,26
9,10,4FW,Robbie Kruse,64,5,VfL Bochum,Germany,Australia,1988-10-05,29
10,11,4FW,Andrew Nabbout,4,1,Urawa Red Diamonds,Japan,Australia,1992-12-17,25
11,12,1GK,Brad Jones,6,0,Feyenoord,Netherlands,Australia,1982-03-19,36
12,13,3MF,Aaron Mooy,34,5,Huddersfield Town,England,Australia,1990-09-15,27
13,14,4FW,Jamie Maclaren,6,0,Hibernian,Scotland,Australia,1993-07-29,24
14,15,3MF,Mile Jedinak (captain),76,18,Aston Villa,England,Australia,1984-08-03,33
15,16,2DF,Aziz Behich,23,2,Bursaspor,Turkey,Australia,1990-12-16,27
16,17,4FW,Daniel Arzani,2,1,Melbourne City,Australia,Australia,1999-01-04,19
17,18,1GK,Danny Vukovic,1,0,Genk,Belgium,Australia,1985-03-27,33
18,19,2DF,Josh Risdon,8,0,Western Sydney Wanderers,Australia,Australia,1992-07-27,25
19,20,2DF,Trent Sainsbury,35,3,Grasshoppers,Switzerland,Australia,1992-01-05,26
20,21,4FW,Dimitri Petratos,2,0,Newcastle Jets,Australia,Australia,1992-11-10,25
21,22,3MF,Jackson Irvine,19,2,Hull City,England,Australia,1993-03-07,25
22,23,3MF,Tom Rogic,37,7,Celtic,Scotland,Australia,1992-12-16,25
0,1,1GK,Kasper Schmeichel,35,0,Leicester City,England,Denmark,1986-11-05,31
1,2,3MF,Michael Krohn-Dehli,59,6,Deportivo La Coruña,Spain,Denmark,1983-06-06,35
2,3,2DF,Jannik Vestergaard,16,1,Borussia Mönchengladbach,Germany,Denmark,1992-08-03,25
3,4,2DF,Simon Kjær (captain),78,3,Sevilla,Spain,Denmark,1989-03-26,29
4,5,2DF,Jonas Knudsen,3,0,Ipswich Town,England,Denmark,1992-09-16,25
5,6,2DF,Andreas Christensen,16,1,Chelsea,England,Denmark,1996-04-10,22
6,7,3MF,William Kvist,80,2,Copenhagen,Denmark,Denmark,1985-02-24,33
7,8,3MF,Thomas Delaney,27,4,Werder Bremen,Germany,Denmark,1991-09-03,26
8,9,4FW,Nicolai Jørgensen,31,8,Feyenoord,Netherlands,Denmark,1991-01-15,27
9,10,3MF,Christian Eriksen,78,22,Tottenham Hotspur,England,Denmark,1992-02-14,26
10,11,4FW,Martin Braithwaite,20,1,Bordeaux,France,Denmark,1991-06-05,27
11,12,4FW,Kasper Dolberg,6,1,Ajax,Netherlands,Denmark,1997-10-06,20
12,13,2DF,Mathias Jørgensen,12,0,Huddersfield Town,England,Denmark,1990-04-23,28
13,14,2DF,Henrik Dalsgaard,11,0,Brentford,England,Denmark,1989-07-27,28
14,15,4FW,Viktor Fischer,19,3,Copenhagen,Denmark,Denmark,1994-06-09,24
15,16,1GK,Jonas Lössl,1,0,Huddersfield Town,England,Denmark,1989-02-01,29
16,17,2DF,Jens Stryger Larsen,13,1,Udinese,Italy,Denmark,1991-02-21,27
17,18,3MF,Lukas Lerager,4,0,Bordeaux,France,Denmark,1993-07-12,24
18,19,3MF,Lasse Schöne,36,3,Ajax,Netherlands,Denmark,1986-05-27,32
19,20,4FW,Yussuf Poulsen,28,4,RB Leipzig,Germany,Denmark,1994-06-15,23
20,21,4FW,Andreas Cornelius,18,4,Atalanta,Italy,Denmark,1993-03-16,25
21,22,1GK,Frederik Rønnow,6,0,Brøndby,Denmark,Denmark,1992-08-04,25
22,23,4FW,Pione Sisto,14,1,Celta Vigo,Spain,Denmark,1995-02-04,23
0,1,1GK,Hugo Lloris (captain),98,0,Tottenham Hotspur,England,France,1986-12-26,31
1,2,2DF,Benjamin Pavard,6,0,VfB Stuttgart,Germany,France,1996-03-28,22
2,3,2DF,Presnel Kimpembe,2,0,Paris Saint-Germain,France,France,1995-08-13,22
3,4,2DF,Raphaël Varane,42,2,Real Madrid,Spain,France,1993-04-25,25
4,5,2DF,Samuel Umtiti,19,2,Barcelona,Spain,France,1993-11-14,24
5,6,3MF,Paul Pogba,54,9,Manchester United,England,France,1993-03-15,25
6,7,4FW,Antoine Griezmann,54,20,Atlético Madrid,Spain,France,1991-03-21,27
7,8,4FW,Thomas Lemar,12,3,Monaco,France,France,1995-11-12,22
8,9,4FW,Olivier Giroud,74,31,Chelsea,England,France,1986-09-30,31
9,10,4FW,Kylian Mbappé,15,4,Paris Saint-Germain,France,France,1998-12-20,19
10,11,4FW,Ousmane Dembélé,12,2,Barcelona,Spain,France,1997-05-15,21
11,12,3MF,Corentin Tolisso,9,0,Bayern Munich,Germany,France,1994-08-03,23
12,13,3MF,N'Golo Kanté,24,1,Chelsea,England,France,1991-03-29,27
13,14,3MF,Blaise Matuidi,67,9,Juventus,Italy,France,1987-04-09,31
14,15,3MF,Steven Nzonzi,4,0,Sevilla,Spain,France,1988-12-15,29
15,16,1GK,Steve Mandanda,27,0,Marseille,France,France,1985-03-28,33
16,17,2DF,Adil Rami,35,1,Marseille,France,France,1985-12-27,32
17,18,4FW,Nabil Fekir,12,2,Lyon,France,France,1993-07-18,24
18,19,2DF,Djibril Sidibé,17,1,Monaco,France,France,1992-07-29,25
19,20,4FW,Florian Thauvin,4,0,Marseille,France,France,1993-01-26,25
20,21,2DF,Lucas Hernández,5,0,Atlético Madrid,Spain,France,1996-02-14,22
21,22,2DF,Benjamin Mendy,7,0,Manchester City,England,France,1994-07-17,23
22,23,1GK,Alphonse Areola,0,0,Paris Saint-Germain,France,France,1993-02-27,25
0,1,1GK,Pedro Gallese,38,0,Veracruz,Mexico,Peru,1990-02-23,28
1,2,2DF,Alberto Rodríguez,59,0,Atlético Junior,Colombia,Peru,1984-03-31,34
2,3,2DF,Aldo Corzo,25,0,Universitario,Peru,Peru,1989-05-20,29
3,4,2DF,Anderson Santamaría,4,0,Puebla,Mexico,Peru,1992-01-10,26
4,5,2DF,Miguel Araujo,7,0,Alianza Lima,Peru,Peru,1994-10-24,23
5,6,2DF,Miguel Trauco,27,0,Flamengo,Brazil,Peru,1992-08-25,25
6,7,3MF,Paolo Hurtado,31,3,Vitória de Guimarães,Portugal,Peru,1990-07-27,27
7,8,3MF,Christian Cueva,44,8,São Paulo,Brazil,Peru,1991-11-23,26
8,9,4FW,Paolo Guerrero (captain),88,34,Flamengo,Brazil,Peru,1984-01-01,34
9,10,4FW,Jefferson Farfán,84,25,Lokomotiv Moscow,Russia,Peru,1984-10-26,33
10,11,4FW,Raúl Ruidíaz,30,4,Morelia,Mexico,Peru,1990-07-25,27
11,12,1GK,Carlos Cáceda,4,0,Deportivo Municipal,Peru,Peru,1991-09-27,26
12,13,3MF,Renato Tapia,23,1,Feyenoord,Netherlands,Peru,1995-07-28,22
13,14,3MF,Andy Polo,17,1,Portland Timbers,United States,Peru,1994-09-29,23
14,15,2DF,Christian Ramos,66,3,Veracruz,Mexico,Peru,1988-11-04,29
15,16,3MF,Wilder Cartagena,3,0,Veracruz,Mexico,Peru,1994-09-23,23
16,17,2DF,Luis Advíncula,65,0,Lobos BUAP,Mexico,Peru,1990-03-02,28
17,18,4FW,André Carrillo,45,5,Watford,England,Peru,1991-06-14,27
18,19,3MF,Yoshimar Yotún,73,2,Orlando City,United States,Peru,1990-04-07,28
19,20,4FW,Edison Flores,29,9,AaB,Denmark,Peru,1994-05-14,24
20,21,1GK,José Carvallo,6,0,UTC,Peru,Peru,1986-03-01,32
21,22,2DF,Nilson Loyola,3,0,Melgar,Peru,Peru,1994-10-26,23
22,23,3MF,Pedro Aquino,13,0,Lobos BUAP,Mexico,Peru,1995-04-13,23
0,1,1GK,Nahuel Guzmán,6,0,UANL,Mexico,Argentina,1986-02-10,32
1,2,2DF,Gabriel Mercado,20,3,Sevilla,Spain,Argentina,1987-03-18,31
2,3,2DF,Nicolás Tagliafico,4,0,Ajax,Netherlands,Argentina,1992-08-31,25
3,4,2DF,Cristian Ansaldi,5,0,Torino,Italy,Argentina,1986-09-20,31
4,5,3MF,Lucas Biglia,57,1,Milan,Italy,Argentina,1986-01-30,32
5,6,2DF,Federico Fazio,9,1,Roma,Italy,Argentina,1987-03-17,31
6,7,3MF,Éver Banega,62,6,Sevilla,Spain,Argentina,1988-06-29,29
7,8,2DF,Marcos Acuña,10,0,Sporting CP,Portugal,Argentina,1991-10-28,26
8,9,4FW,Gonzalo Higuaín,71,31,Juventus,Italy,Argentina,1987-12-10,30
9,10,4FW,Lionel Messi (captain),124,64,Barcelona,Spain,Argentina,1987-06-24,30
10,11,3MF,Ángel Di María,94,19,Paris Saint-Germain,France,Argentina,1988-02-14,30
11,12,1GK,Franco Armani,0,0,River Plate,Argentina,Argentina,1986-10-16,31
12,13,3MF,Maximiliano Meza,2,0,Independiente,Argentina,Argentina,1992-12-15,25
13,14,2DF,Javier Mascherano,143,3,Hebei China Fortune,China,Argentina,1984-06-08,34
14,15,3MF,Enzo Pérez,23,1,River Plate,Argentina,Argentina,1986-02-22,32
15,16,2DF,Marcos Rojo,56,2,Manchester United,England,Argentina,1990-03-20,28
16,17,2DF,Nicolás Otamendi,54,4,Manchester City,England,Argentina,1988-02-12,30
17,18,2DF,Eduardo Salvio,9,0,Benfica,Portugal,Argentina,1990-07-13,27
18,19,4FW,Sergio Agüero,85,37,Manchester City,England,Argentina,1988-06-02,30
